Term,LoanStatus,EstimatedEffectiveYield,EstimatedReturn,ProsperRatingAlpha,ProsperScore,BorrowerState,Occupation,EmploymentStatus,FirstRecordedCreditLine,CurrentCreditLines,TotalCreditLinespast7years,CurrentDelinquencies,DelinquenciesLast7Years,IncomeRange,LoanOriginationQuarter,DebtToIncomeRatio,LoanOriginalAmount,semester,year
36,Completed,0.1024,0.1024,A,9,MD,Professional,Full-time,1991-09-27,9.0,31.0,0.0,1.0,"$100,000+",Q3 2009,0.16,10000,Q3,2009
36,Defaulted,0.2896,0.1246,HR,2,OH,Administrative Assistant,Employed,1987-03-01,16.0,46.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.54,4000,Q2,2012
36,Completed,0.046,0.046,C,9,IL,Police Officer/Correction Officer,Full-time,1997-06-11,9.0,19.0,0.0,0.0,"$50,000-74,999",Q1 2010,0.18,2000,Q1,2010
36,Completed,0.0994,0.0994,HR,5,PA,Nurse (RN),Full-time,1986-08-04,8.0,32.0,1.0,0.0,"$50,000-74,999",Q4 2010,0.29,3000,Q4,2010
36,Chargedoff,0.2896,0.1246,HR,3,AL,Social Worker,Employed,2002-09-03,10.0,30.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.45,4000,Q2,2012
60,Completed,0.1952,0.0927,D,6,TX,Food Service Management,Employed,2001-10-10,15.0,24.0,0.0,4.0,"$50,000-74,999",Q3 2013,0.37,10000,Q3,2013
36,Defaulted,0.2766,0.1276,E,3,KY,Military Enlisted,Employed,2001-04-20,7.0,30.0,2.0,23.0,"$25,000-49,999",Q1 2012,0.35,3000,Q1,2012
36,Past Due (1-15 days),0.2766,0.1276,E,3,KY,Other,Other,1983-04-01,7.0,35.0,0.0,20.0,"$1-24,999",Q1 2012,0.41,2500,Q1,2012
36,Completed,0.0697,0.0697,A,9,MD,Accountant/CPA,Full-time,2003-06-01,6.0,8.0,0.0,0.0,"$50,000-74,999",Q4 2009,0.04,5000,Q4,2009
36,Completed,0.0552,0.0552,AA,10,OK,Professional,Full-time,1988-02-02,8.0,22.0,0.0,0.0,"$50,000-74,999",Q3 2009,0.09,2200,Q3,2009
60,Completed,0.17,0.128,B,7,CA,Computer Programmer,Employed,2004-02-24,7.0,19.0,0.0,0.0,"$75,000-99,999",Q2 2012,0.17,15000,Q2,2012
36,Chargedoff,0.2896,0.1271,HR,5,NY,Food Service,Employed,1994-12-13,4.0,24.0,0.0,21.0,"$25,000-49,999",Q3 2012,0.2,4000,Q3,2012
36,Completed,0.1207,0.1207,C,8,OR,Analyst,Full-time,2007-09-12,4.0,8.0,0.0,0.0,"$25,000-49,999",Q1 2010,0.05,3000,Q1,2010
36,Completed,0.068,0.068,AA,8,CA,Other,Full-time,1982-10-01,18.0,36.0,0.0,0.0,"$50,000-74,999",Q1 2010,0.17,9000,Q1,2010
36,Completed,0.0608,0.0608,A,9,GA,Tradesman - Mechanic,Full-time,1999-08-13,11.0,19.0,0.0,0.0,"$50,000-74,999",Q1 2010,0.29,6500,Q1,2010
36,Defaulted,0.2837,0.1347,E,1,MN,Postal Service,Employed,1999-03-11,16.0,33.0,1.0,0.0,"$50,000-74,999",Q4 2011,0.13,5500,Q4,2011
36,Completed,0.2437,0.1317,D,5,KY,Other,Employed,1993-12-10,14.0,44.0,0.0,1.0,"$50,000-74,999",Q4 2011,0.32,3800,Q4,2011
36,Completed,0.1495,0.09,B,8,FL,Waiter/Waitress,Employed,2003-06-02,6.0,12.0,0.0,0.0,"$25,000-49,999",Q4 2011,0.09,3000,Q4,2011
36,Completed,0.1434,0.1434,D,8,NY,Professional,Employed,1998-08-21,9.0,31.0,0.0,0.0,"$100,000+",Q3 2010,0.12,3000,Q3,2010
36,Chargedoff,0.2917,0.1267,HR,2,VA,Executive,Employed,2002-03-14,10.0,18.0,0.0,0.0,"$50,000-74,999",Q3 2011,0.27,4000,Q3,2011
36,Completed,0.1177,0.1177,C,9,NY,Professional,Full-time,1998-11-27,10.0,13.0,0.0,0.0,"$100,000+",Q1 2010,0.21,5500,Q1,2010
36,Completed,0.09653,0.06663,A,6,FL,Administrative Assistant,Employed,2006-07-05,13.0,20.0,2.0,0.0,"$25,000-49,999",Q4 2013,0.21,7000,Q4,2013
60,Completed,0.1076,0.0727,A,7,MI,Other,Employed,1985-11-18,10.0,21.0,0.0,2.0,"$25,000-49,999",Q3 2013,0.21,8000,Q3,2013
36,Completed,0.0797,0.0597,A,8,NY,Professional,Employed,1993-02-26,13.0,21.0,0.0,0.0,"$50,000-74,999",Q1 2012,0.14,2000,Q1,2012
36,Completed,0.234,0.115,D,6,OH,Laborer,Employed,1986-10-19,9.0,15.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.17,2000,Q2,2012
36,Completed,0.1557,0.1557,E,5,FL,Professional,Employed,1996-10-01,13.0,29.0,0.0,0.0,"$50,000-74,999",Q4 2010,0.39,7500,Q4,2010
12,Completed,0.0716,0.0386,A,9,NY,Computer Programmer,Employed,2008-04-05,4.0,7.0,0.0,0.0,"$100,000+",Q3 2012,0.11,10000,Q3,2012
36,Completed,0.1216,0.1216,C,10,FL,Administrative Assistant,Full-time,1994-11-15,21.0,39.0,0.0,0.0,"$50,000-74,999",Q4 2009,0.37,1500,Q4,2009
36,Completed,0.1504,0.1504,D,8,IL,Other,Employed,2002-08-24,6.0,16.0,0.0,0.0,"$25,000-49,999",Q4 2010,0.2,5000,Q4,2010
36,Chargedoff,0.2909,0.1439,E,4,PA,Professional,Employed,2004-02-18,9.0,27.0,1.0,1.0,"$25,000-49,999",Q4 2011,0.18,6000,Q4,2011
36,Chargedoff,0.2727,0.1257,E,6,MO,Police Officer/Correction Officer,Employed,1999-11-05,5.0,21.0,0.0,5.0,"$25,000-49,999",Q2 2012,0.08,2500,Q2,2012
36,Completed,0.2896,0.1246,HR,5,CO,Retail Management,Employed,1990-11-06,3.0,20.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.29,4000,Q3,2012
36,Chargedoff,0.2896,0.1246,HR,4,VA,Other,Employed,1996-01-04,14.0,28.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.2,4000,Q2,2012
36,Completed,0.2957,0.1487,E,4,MD,Other,Employed,2000-12-05,13.0,33.0,0.0,0.0,"$50,000-74,999",Q2 2011,0.31,7500,Q2,2011
36,Completed,0.1294,0.1294,HR,5,OH,Other,Full-time,2001-07-17,10.0,28.0,1.0,0.0,"$25,000-49,999",Q2 2010,0.37,2500,Q2,2010
36,Completed,0.2896,0.1221,HR,1,CA,Engineer - Mechanical,Employed,1989-04-01,10.0,54.0,2.0,0.0,"$75,000-99,999",Q3 2012,0.23,4000,Q3,2012
36,Completed,0.1285,0.0905,A,9,TX,Teacher,Employed,1993-04-25,11.0,23.0,0.0,0.0,"$25,000-49,999",Q3 2011,0.23,4500,Q3,2011
36,Chargedoff,0.1733,0.1083,C,4,NC,Accountant/CPA,Employed,1981-06-24,8.0,61.0,0.0,0.0,"$50,000-74,999",Q2 2012,0.35,7000,Q2,2012
36,Completed,0.2437,0.1317,D,6,FL,Dentist,Employed,1992-03-18,10.0,34.0,0.0,0.0,"$100,000+",Q4 2011,0.29,10000,Q4,2011
36,Completed,0.2614,0.1239,E,8,NJ,Professional,Employed,2001-04-27,13.0,49.0,0.0,0.0,"$50,000-74,999",Q3 2012,0.21,4000,Q3,2012
36,Chargedoff,0.2134,0.1144,D,5,KY,Other,Full-time,2002-06-25,7.0,32.0,0.0,0.0,"$1-24,999",Q1 2012,0.42,5025,Q1,2012
36,Chargedoff,0.1463,0.1463,D,7,TX,Sales - Retail,Full-time,2003-02-03,6.0,13.0,0.0,0.0,"$50,000-74,999",Q2 2010,0.1,2500,Q2,2010
36,Completed,0.1761,0.1761,E,5,KS,Other,Employed,1999-01-21,5.0,16.0,0.0,1.0,"$25,000-49,999",Q3 2010,0.2,1500,Q3,2010
36,Completed,0.1285,0.0905,A,9,NY,Analyst,Employed,2002-10-21,8.0,11.0,0.0,0.0,"$50,000-74,999",Q3 2011,0.18,15000,Q3,2011
36,Completed,0.1504,0.1504,D,8,AL,Executive,Employed,1999-03-15,8.0,21.0,1.0,8.0,"$100,000+",Q4 2010,0.13,7500,Q4,2010
36,Chargedoff,0.2799,0.1174,HR,5,OH,Nurse (LPN),Employed,2000-10-11,11.0,30.0,0.0,1.0,"$50,000-74,999",Q4 2012,0.38,4000,Q4,2012
36,Chargedoff,0.2437,0.1357,D,6,TN,Other,Employed,1989-09-23,7.0,22.0,0.0,0.0,"$25,000-49,999",Q1 2011,0.55,2000,Q1,2011
36,Chargedoff,0.07,0.07,AA,9,MD,Medical Technician,Full-time,1995-08-22,25.0,57.0,0.0,0.0,"$25,000-49,999",Q4 2009,0.23,5000,Q4,2009
12,Completed,0.1758,0.0688,D,7,GA,Professional,Employed,1979-10-15,14.0,48.0,0.0,0.0,"$100,000+",Q4 2011,0.16,2000,Q4,2011
12,Completed,0.234,0.122,D,6,MN,Professional,Employed,1996-04-27,4.0,19.0,0.0,0.0,"$50,000-74,999",Q3 2011,0.14,3000,Q3,2011
36,Completed,0.2671,0.1371,E,3,CA,Clerical,Full-time,1989-03-23,9.0,44.0,1.0,20.0,"$25,000-49,999",Q2 2011,0.26,4500,Q2,2011
36,Completed,0.2896,0.1246,HR,5,NM,Executive,Employed,1998-06-14,9.0,15.0,0.0,0.0,"$25,000-49,999",Q1 2012,0.1,4000,Q1,2012
36,Completed,0.0764,0.0764,B,8,OH,Computer Programmer,Full-time,1994-05-27,11.0,34.0,0.0,0.0,"$50,000-74,999",Q1 2010,0.18,4000,Q1,2010
36,Defaulted,0.0526,0.0526,HR,6,MO,Other,Full-time,1999-01-06,6.0,20.0,0.0,0.0,"$25,000-49,999",Q4 2010,0.23,4000,Q4,2010
36,Completed,0.2957,0.1487,E,5,CA,Other,Employed,1996-03-05,20.0,26.0,0.0,4.0,"$75,000-99,999",Q2 2011,0.34,7500,Q2,2011
12,Completed,0.2142,0.0682,E,8,OK,Retail Management,Employed,2002-05-23,6.0,22.0,0.0,1.0,"$75,000-99,999",Q2 2012,0.17,4000,Q2,2012
36,Defaulted,0.176,0.111,C,5,KS,Other,Employed,2002-03-06,7.0,32.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.35,3000,Q2,2012
36,Completed,0.0608,0.0608,A,9,OK,Professional,Full-time,1993-06-30,10.0,34.0,0.0,0.0,"$100,000+",Q3 2010,0.12,4700,Q3,2010
60,Completed,0.1988,0.1389,B,8,GA,Tradesman - Electrician,Employed,2004-08-17,8.0,9.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.31,11000,Q3,2012
60,Chargedoff,0.2612,0.1237,E,3,FL,Professional,Full-time,1997-03-29,6.0,39.0,11.0,21.0,"$50,000-74,999",Q2 2013,0.11,4000,Q2,2013
36,Chargedoff,0.207,0.207,D,7,NY,Architect,Full-time,1996-07-11,10.0,24.0,0.0,7.0,"$75,000-99,999",Q1 2010,0.15,8000,Q1,2010
60,Completed,0.3057,0.1567,E,3,MI,Computer Programmer,Employed,1998-09-01,16.0,42.0,0.0,15.0,"$75,000-99,999",Q1 2012,0.22,4000,Q1,2012
12,Completed,0.1106,0.0541,B,8,CA,Executive,Employed,1997-10-31,7.0,19.0,0.0,0.0,"$100,000+",Q3 2012,0.21,6950,Q3,2012
36,Completed,0.0779,0.0779,AA,8,ID,Engineer - Chemical,Full-time,1984-04-01,10.0,30.0,0.0,0.0,"$100,000+",Q1 2010,0.2,20000,Q1,2010
36,Completed,0.1007,0.0807,A,8,IL,Computer Programmer,Full-time,1998-10-08,15.0,35.0,0.0,0.0,"$50,000-74,999",Q4 2011,0.24,10000,Q4,2011
36,Completed,0.1761,0.1761,E,5,AZ,Professional,Employed,1998-12-01,4.0,10.0,0.0,1.0,"$50,000-74,999",Q3 2010,0.2,7500,Q3,2010
36,Defaulted,0.276,0.1185,HR,3,GA,Other,Other,1997-01-08,13.0,28.0,1.0,0.0,"$1-24,999",Q2 2013,1.26,4000,Q2,2013
36,Completed,0.1873,0.0999,C,8,WV,Construction,Employed,2003-02-14,7.0,13.0,0.0,0.0,"$100,000+",Q3 2013,0.15,9000,Q3,2013
36,Completed,0.0662,0.0662,A,9,TN,Analyst,Employed,1985-05-08,12.0,18.0,0.0,0.0,"$75,000-99,999",Q4 2010,0.23,10000,Q4,2010
36,Chargedoff,0.234,0.115,D,5,ID,Other,Employed,1993-11-22,9.0,19.0,0.0,0.0,"$25,000-49,999",Q2 2012,0.47,15000,Q2,2012
36,Completed,0.257,0.257,C,9,OH,Administrative Assistant,Full-time,1985-09-30,18.0,40.0,0.0,0.0,"$25,000-49,999",Q4 2009,0.42,2500,Q4,2009
36,Chargedoff,0.2957,0.1487,E,5,NV,Other,Employed,1990-11-01,11.0,27.0,0.0,0.0,"$100,000+",Q1 2011,0.27,7500,Q1,2011
36,Chargedoff,0.1594,0.1594,D,6,TN,Executive,Full-time,2002-07-26,5.0,11.0,0.0,0.0,"$25,000-49,999",Q4 2010,0.44,7500,Q4,2010
36,Chargedoff,0.2822,0.1352,E,6,TX,Attorney,Employed,1997-08-25,18.0,62.0,2.0,10.0,"$75,000-99,999",Q1 2012,0.19,4000,Q1,2012
36,Chargedoff,0.2957,0.1487,E,4,WA,Other,Employed,1999-09-30,8.0,28.0,0.0,0.0,"$25,000-49,999",Q2 2011,0.34,7500,Q2,2011
36,Completed,0.2896,0.1221,HR,3,AR,Truck Driver,Employed,1981-01-01,11.0,34.0,0.0,4.0,"$50,000-74,999",Q3 2012,0.18,4000,Q3,2012
36,Completed,0.1483,0.0963,B,5,VA,Administrative Assistant,Employed,1985-05-01,11.0,29.0,0.0,0.0,"$25,000-49,999",Q4 2011,0.41,7000,Q4,2011
60,Completed,0.1797,0.0898,C,4,MN,Engineer - Mechanical,Employed,1988-09-21,9.0,17.0,0.0,0.0,"$50,000-74,999",Q4 2013,0.12,7000,Q4,2013
36,Completed,0.1669,0.1074,B,8,SC,Other,Employed,2001-06-04,5.0,7.0,0.0,0.0,"$25,000-49,999",Q3 2011,0.34,13500,Q3,2011
60,Completed,0.2051,0.1152,C,3,OK,Doctor,Employed,2000-11-17,19.0,41.0,0.0,21.0,"$75,000-99,999",Q3 2013,0.21,10000,Q3,2013
36,Completed,0.1326,0.0906,B,6,WA,Police Officer/Correction Officer,Full-time,1995-07-31,12.0,42.0,2.0,17.0,"$25,000-49,999",Q1 2012,0.32,2500,Q1,2012
60,Chargedoff,0.2341,0.1492,C,7,PA,Professional,Employed,1980-12-01,5.0,16.0,0.0,2.0,"$1-24,999",Q3 2012,0.33,10000,Q3,2012
36,Completed,0.1806,0.0936,C,6,MO,Nurse (RN),Employed,1986-03-01,11.0,27.0,0.0,0.0,"$75,000-99,999",Q1 2011,0.16,14584,Q1,2011
36,Chargedoff,0.1574,0.1574,D,7,MD,Other,Full-time,1998-11-14,4.0,16.0,0.0,7.0,"$50,000-74,999",Q1 2010,0.07,5000,Q1,2010
12,Completed,0.1019,0.0495,B,7,NV,Pilot - Private/Commercial,Employed,1992-08-01,5.0,12.0,0.0,4.0,"$100,000+",Q1 2013,0.13,4000,Q1,2013
36,Chargedoff,-0.0013,-0.0013,HR,5,OK,Sales - Commission,Full-time,2000-09-25,6.0,11.0,1.0,0.0,"$25,000-49,999",Q2 2010,0.32,1000,Q2,2010
36,Past Due (61-90 days),0.2534,0.1414,D,6,MO,Nurse's Aide,Employed,1998-04-06,4.0,4.0,0.0,0.0,"$25,000-49,999",Q3 2011,0.13,4500,Q3,2011
36,Completed,0.1248,0.1248,AA,7,VA,Pharmacist,Full-time,2003-08-29,12.0,16.0,0.0,0.0,"$100,000+",Q3 2010,0.06,15000,Q3,2010
36,Completed,0.1304,0.1304,C,8,GA,Teacher,Full-time,1974-10-10,5.0,14.0,0.0,0.0,"$50,000-74,999",Q2 2010,0.14,5000,Q2,2010
36,Completed,0.1504,0.1504,D,7,MI,Professional,Employed,1984-09-26,4.0,17.0,0.0,21.0,"$25,000-49,999",Q4 2010,0.03,3000,Q4,2010
36,Completed,0.2437,0.1317,D,7,PA,Other,Employed,1977-09-17,18.0,55.0,0.0,0.0,"$75,000-99,999",Q4 2011,0.2,10000,Q4,2011
36,Completed,-0.0677,-0.0677,HR,1,CA,Professional,Employed,1997-09-28,17.0,53.0,0.0,0.0,"$50,000-74,999",Q4 2010,0.31,1500,Q4,2010
12,Completed,0.116,0.0561,B,4,TN,Executive,Full-time,1978-12-15,20.0,43.0,0.0,0.0,"$50,000-74,999",Q3 2012,0.23,2000,Q3,2012
36,Completed,0.2957,0.1487,E,7,NH,Professional,Employed,1994-11-01,2.0,8.0,2.0,0.0,"$25,000-49,999",Q2 2011,0.1,6290,Q2,2011
36,Chargedoff,0.1399,0.1399,HR,5,IL,Truck Driver,Full-time,1995-02-02,5.0,27.0,0.0,36.0,"$50,000-74,999",Q1 2010,0.13,3000,Q1,2010
36,Completed,0.1357,0.1357,C,5,FL,Other,Full-time,2008-02-11,3.0,4.0,0.0,0.0,"$25,000-49,999",Q4 2009,0.3,21500,Q4,2009
36,Completed,0.2413,0.1363,D,4,CO,Truck Driver,Employed,2005-09-21,4.0,10.0,1.0,0.0,"$25,000-49,999",Q4 2011,0.32,4000,Q4,2011
36,Completed,0.2352,0.1232,D,6,FL,Administrative Assistant,Employed,1996-10-20,8.0,23.0,0.0,0.0,"$50,000-74,999",Q4 2011,0.25,10000,Q4,2011
36,Defaulted,0.2437,0.1357,D,7,GA,Other,Employed,1993-11-05,19.0,33.0,0.0,0.0,"$25,000-49,999",Q1 2011,0.75,7500,Q1,2011
36,Completed,0.0556,0.0556,HR,5,IN,Engineer - Mechanical,Full-time,1996-12-03,9.0,51.0,0.0,1.0,"$25,000-49,999",Q4 2009,0.29,2100,Q4,2009
36,Completed,0.2957,0.1487,E,5,GA,Retail Management,Employed,1999-08-12,10.0,22.0,0.0,1.0,"$50,000-74,999",Q1 2011,0.35,7500,Q1,2011
12,Completed,0.1304,0.0424,C,7,CA,Analyst,Employed,2007-11-27,3.0,3.0,0.0,0.0,"$50,000-74,999",Q1 2012,0.08,4000,Q1,2012
36,Completed,0.1026,0.0766,A,8,IL,Clerical,Employed,1984-08-14,15.0,40.0,1.0,0.0,"$50,000-74,999",Q3 2011,0.33,25000,Q3,2011
60,Completed,0.1445,0.1115,A,8,TX,Analyst,Employed,1993-02-14,10.0,26.0,0.0,0.0,"$75,000-99,999",Q3 2012,0.21,13000,Q3,2012
36,Completed,0.234,0.115,D,5,CA,Nurse (RN),Employed,1989-01-01,11.0,32.0,0.0,0.0,"$50,000-74,999",Q2 2012,0.58,15000,Q2,2012
60,Past Due (61-90 days),0.1445,0.1115,A,8,TX,Retail Management,Employed,1992-10-01,10.0,27.0,0.0,0.0,"$50,000-74,999",Q3 2012,0.3,23500,Q3,2012
36,Completed,0.2957,0.1487,E,5,TX,Computer Programmer,Employed,1983-11-01,9.0,40.0,0.0,0.0,"$50,000-74,999",Q3 2011,0.31,7000,Q3,2011
36,Completed,0.2778,0.1698,D,7,WA,Executive,Employed,1996-03-21,1.0,40.0,0.0,31.0,"$75,000-99,999",Q1 2011,0.02,3500,Q1,2011
60,Chargedoff,0.2849,0.1374,E,5,MO,Accountant/CPA,Employed,1998-05-01,13.0,44.0,0.0,0.0,"$50,000-74,999",Q4 2012,0.43,4000,Q4,2012
36,Completed,0.0872,0.0672,A,8,NY,Other,Employed,1995-07-19,8.0,27.0,0.0,0.0,"$100,000+",Q4 2011,0.26,20500,Q4,2011
36,Completed,0.1367,0.0772,B,9,NJ,Truck Driver,Employed,2003-01-18,5.0,14.0,0.0,0.0,"$25,000-49,999",Q4 2010,0.08,3500,Q4,2010
60,Past Due (61-90 days),0.103,0.0706,A,7,MA,Tradesman - Electrician,Employed,1998-01-28,9.0,30.0,0.0,0.0,"$100,000+",Q3 2013,0.11,20000,Q3,2013
36,Chargedoff,0.156,0.156,D,6,OR,Other,Part-time,1988-03-04,9.0,12.0,0.0,1.0,"$25,000-49,999",Q2 2010,0.2,5000,Q2,2010
36,Completed,0.2681,0.1256,E,6,NJ,Other,Employed,1984-02-14,22.0,52.0,0.0,3.0,"$1-24,999",Q3 2012,1.89,2500,Q3,2012
36,Completed,0.1639,0.1074,B,8,AL,Professional,Employed,1989-07-09,12.0,31.0,0.0,1.0,"$100,000+",Q2 2012,0.14,15000,Q2,2012
60,Past Due (31-60 days),0.1932,0.1133,C,5,NY,Professional,Employed,1996-11-01,9.0,21.0,0.0,0.0,"$50,000-74,999",Q2 2013,0.42,10000,Q2,2013
36,Completed,0.1196,0.1196,C,9,FL,Other,Retired,1990-10-01,11.0,27.0,0.0,2.0,"$50,000-74,999",Q1 2010,0.24,2500,Q1,2010
60,Completed,0.0751,0.0552,AA,10,NJ,Analyst,Employed,2000-09-18,12.0,32.0,0.0,0.0,"$100,000+",Q3 2013,0.1,10000,Q3,2013
60,Past Due (61-90 days),0.128,0.108,A,8,GA,Other,Employed,2001-09-13,10.0,24.0,0.0,0.0,"$25,000-49,999",Q3 2012,0.32,22500,Q3,2012
60,Completed,0.2853,0.1733,D,6,OH,Skilled Labor,Employed,2000-09-12,2.0,22.0,0.0,0.0,"$25,000-49,999",Q1 2012,0.13,7000,Q1,2012
60,Completed,0.1829,0.1105,C,4,NJ,Accountant/CPA,Employed,2006-01-13,15.0,29.0,0.0,0.0,"$100,000+",Q2 2013,0.15,25000,Q2,2013
36,Completed,0.1443,0.1443,C,7,LA,Tradesman - Electrician,Full-time,1990-09-12,7.0,19.0,0.0,0.0,"$75,000-99,999",Q1 2010,0.1,16000,Q1,2010
36,Completed,0.0554,0.0554,AA,10,FL,Administrative Assistant,Part-time,1983-02-21,4.0,4.0,0.0,0.0,"$1-24,999",Q2 2010,0.29,1000,Q2,2010
36,Chargedoff,0.1873,0.0999,C,3,WA,Executive,Employed,1999-11-19,9.0,20.0,0.0,0.0,"$75,000-99,999",Q1 2013,0.34,15000,Q1,2013
36,Completed,0.0749,0.0749,B,8,GA,Professional,Employed,1996-07-01,13.0,29.0,0.0,0.0,"$100,000+",Q3 2010,0.28,15000,Q3,2010
36,Completed,0.1399,0.1399,HR,5,MO,Tradesman - Mechanic,Full-time,1998-01-22,15.0,31.0,0.0,0.0,"$75,000-99,999",Q2 2010,0.22,4000,Q2,2010
36,Chargedoff,0.1337,0.0838,B,6,IL,Police Officer/Correction Officer,Employed,1999-03-15,12.0,29.0,1.0,0.0,"$25,000-49,999",Q3 2013,0.5,10000,Q3,2013
36,Completed,0.0699,0.0599,AA,10,GA,Other,Employed,1991-04-23,9.0,36.0,0.0,0.0,"$100,000+",Q3 2011,0.16,14000,Q3,2011
36,Completed,0.1567,0.1567,C,9,CA,Computer Programmer,Full-time,1996-03-21,4.0,14.0,0.0,0.0,"$75,000-99,999",Q4 2009,0.27,4500,Q4,2009
36,Completed,0.0797,0.0597,A,8,NC,Police Officer/Correction Officer,Employed,2006-06-11,8.0,17.0,0.0,0.0,"$25,000-49,999",Q1 2012,0.21,6000,Q1,2012
12,Completed,0.1178,0.0568,C,2,CA,Accountant/CPA,Employed,1977-07-05,10.0,29.0,3.0,16.0,"$25,000-49,999",Q2 2012,0.4,2000,Q2,2012
36,Completed,0.1196,0.1196,C,9,NE,Analyst,Full-time,2002-09-12,19.0,26.0,0.0,8.0,"$50,000-74,999",Q2 2010,0.39,4000,Q2,2010
36,Past Due (1-15 days),0.1536,0.0912,C,6,NY,Professor,Employed,2006-08-22,8.0,41.0,0.0,0.0,"$50,000-74,999",Q1 2013,0.12,10000,Q1,2013
36,Completed,0.069,0.069,AA,9,GA,Professional,Full-time,1993-10-15,10.0,30.0,0.0,0.0,"$75,000-99,999",Q4 2009,0.29,6000,Q4,2009
36,Completed,0.2837,0.1347,E,3,VA,Sales - Commission,Employed,1993-11-01,5.0,67.0,13.0,14.0,"$25,000-49,999",Q1 2012,0.37,4000,Q1,2012
36,Completed,0.0849,0.06,A,9,WA,Professional,Employed,1987-11-01,10.0,27.0,0.0,0.0,"$25,000-49,999",Q4 2012,0.17,10000,Q4,2012
